Date,Open,High,Low,Close,Volume
2023-08-10,85.24,86.67,84.91,85.71,80459
2023-08-11,85.37,85.37,83.26,83.71,38501
2023-08-14,83.88,85.48,83.88,84.85,28469
2023-08-15,85.54,85.54,82.12,83.24,60969
2023-08-16,84.31,85.08,84.31,84.59,77816
2023-08-17,83.78,88.14,83.78,86.59,113606
2023-08-18,87.29,87.29,84.69,85.21,33212
2023-08-21,84.91,88.01,84.91,86.9,70966
2023-08-22,86.22,88.25,86.22,87.66,66490
2023-08-23,87.12,90.49,87.12,89.14,83390
2023-08-24,89.33,94.33,89.33,92.57,78407
2023-08-25,92.86,93.32,91.2,92.16,64600
2023-08-28,92.73,92.73,89.79,90.82,101491
2023-08-29,90.18,90.18,88.33,89.25,99571
2023-08-30,89.31,89.31,86.5,87.84,35527
2023-08-31,87.99,88.57,86.94,87.74,82278
2023-09-01,87.16,89.12,87.16,88.39,71764
2023-09-04,87.68,89.87,87.68,88.92,69076
2023-09-05,89.29,90.89,89.29,90.44,40662
2023-09-06,90.96,91.3,89.71,90.5,89191
2023-09-07,90.95,93.84,90.95,93.18,40554
2023-09-08,93.79,94.15,91.48,92.73,95671
2023-09-11,93.11,98.15,93.11,97.82,38208
2023-09-12,97.86,101.67,96.41,99.1,37718
2023-09-13,99.36,99.36,97.18,97.45,48660
2023-09-14,97.59,98.22,92.35,95.41,53103
2023-09-15,95.99,97.93,94.87,96.38,96347
2023-09-18,96.35,97.13,95.31,96.0,82439
2023-09-19,95.85,98.35,95.85,97.41,67083
2023-09-20,97.86,100.2,96.62,98.39,65695
2023-09-21,98.28,99.82,96.74,98.29,98966
2023-09-22,98.67,98.67,95.63,96.68,66469
2023-09-25,96.87,96.87,93.18,93.8,27324
2023-09-26,93.78,94.18,91.87,93.0,97107
2023-09-27,92.57,94.74,92.57,94.64,80521
2023-09-28,94.43,97.47,92.69,95.1,103190
2023-09-29,95.59,95.59,91.95,92.77,47050
2023-10-02,93.2,93.52,92.75,93.14,92947
2023-10-03,93.87,95.16,92.44,93.91,40983
2023-10-04,94.72,94.72,92.19,92.29,31637
2023-10-05,92.38,93.0,92.28,92.62,100271
2023-10-06,93.23,93.66,91.87,92.78,89767
2023-10-09,93.03,93.03,89.71,90.7,82324
2023-10-10,91.1,92.12,90.65,91.4,105218
2023-10-11,91.05,93.68,91.05,92.47,44453
2023-10-12,92.04,95.15,92.04,94.52,66593
2023-10-13,94.96,97.65,94.96,96.56,73101
2023-10-16,96.84,96.84,93.18,93.95,54126
2023-10-17,93.02,93.4,90.98,92.23,105732
2023-10-18,92.08,93.77,92.08,93.23,76988
2023-10-19,92.95,95.45,92.95,94.23,102001
2023-10-20,93.85,96.27,93.85,95.25,86306
2023-10-23,95.81,103.41,95.81,102.64,105402
2023-10-24,102.59,104.33,102.59,103.86,41400
2023-10-25,103.87,107.97,103.87,106.27,77854
2023-10-26,106.31,110.71,105.92,108.35,107686
2023-10-27,108.71,111.32,108.15,109.82,29014
2023-10-30,109.31,110.62,108.22,109.18,59677
2023-10-31,109.5,111.84,109.5,110.89,75332
2023-11-01,110.27,110.27,108.37,109.23,26699
2023-11-02,109.59,110.14,107.71,108.77,53406
2023-11-03,108.32,108.73,106.74,107.77,55013
2023-11-06,107.55,110.34,105.81,108.0,63752
2023-11-07,107.59,114.95,107.59,113.05,60346
2023-11-08,114.5,114.5,108.25,108.89,72278
2023-11-09,109.91,112.82,108.01,110.43,101265
2023-11-10,110.13,110.13,106.05,106.93,31679
2023-11-13,106.58,107.53,104.37,105.97,70914
2023-11-14,105.87,109.75,105.87,108.33,35257
2023-11-15,107.59,109.45,107.46,108.53,99543
2023-11-16,109.53,109.53,104.74,106.24,37344
2023-11-17,106.08,106.18,103.27,104.77,77009
2023-11-20,104.19,106.95,104.19,106.25,28125
2023-11-21,106.66,106.66,104.04,104.75,100593
2023-11-22,103.92,106.21,103.92,105.26,40773
2023-11-23,105.99,105.99,105.13,105.41,31641
2023-11-24,106.34,106.34,103.68,104.09,82640
2023-11-27,103.51,109.06,103.51,108.6,76906
2023-11-28,108.49,110.29,108.49,110.03,93900
2023-11-29,109.52,109.52,104.51,105.63,90248
2023-11-30,105.24,106.12,105.24,106.08,93181
2023-12-01,105.48,105.48,104.44,104.73,93427
2023-12-04,105.0,107.13,105.0,106.56,56787
2023-12-05,106.07,106.37,103.87,104.93,80614
2023-12-06,104.22,105.29,103.92,104.74,72713
2023-12-07,104.57,106.79,104.57,105.85,47365
2023-12-08,106.46,108.23,106.46,107.74,91305
2023-12-11,107.82,107.82,104.61,105.2,32049
2023-12-12,103.67,105.76,102.94,104.55,98263
2023-12-13,105.6,105.6,102.81,103.61,68862
2023-12-14,103.23,103.23,102.05,102.31,28956
2023-12-15,102.62,106.78,102.62,105.97,52893
2023-12-18,106.83,107.12,106.28,106.88,92084
2023-12-19,107.16,107.16,103.35,104.24,85889
2023-12-20,104.2,107.43,104.2,106.21,35816
2023-12-21,106.48,112.13,106.48,110.77,107442
2023-12-22,109.97,113.4,109.97,113.11,69093
2023-12-25,113.42,113.42,107.93,109.73,72697
2023-12-26,109.27,109.68,108.02,108.72,93616
2023-12-27,108.99,112.38,108.99,111.53,41217
2023-12-28,111.77,111.77,108.62,110.01,34245
2023-12-29,110.14,111.53,110.14,111.04,57410
2024-01-01,111.28,114.51,111.28,112.82,41116
2024-01-02,112.67,112.67,110.35,110.78,92069
2024-01-03,110.59,111.02,110.02,110.71,88109
2024-01-04,110.9,110.9,101.47,103.58,102283
2024-01-05,103.27,103.92,98.94,101.51,60779
2024-01-08,101.09,102.02,100.45,101.05,45337
2024-01-09,100.59,100.59,97.83,98.58,76728
2024-01-10,99.19,103.82,99.19,101.85,113379
2024-01-11,102.01,102.01,97.93,98.99,83385
2024-01-12,99.25,99.25,97.63,98.16,76159
2024-01-15,99.12,99.12,98.24,98.47,27836
2024-01-16,97.82,102.88,97.82,101.36,90936
2024-01-17,101.92,101.92,97.43,98.5,80084
2024-01-18,98.57,102.04,98.57,100.84,98523
2024-01-19,101.27,103.59,98.66,100.91,69008
2024-01-22,101.12,101.12,98.61,98.98,95377
2024-01-23,99.28,100.69,98.72,99.94,85373
2024-01-24,99.68,101.42,99.06,100.39,36415
2024-01-25,101.31,101.31,98.75,99.24,26882
2024-01-26,99.09,101.6,97.4,99.42,56447
2024-01-29,100.27,100.27,97.68,98.71,33861
2024-01-30,98.39,99.73,97.97,98.98,106975
2024-01-31,99.56,100.44,99.56,100.34,70413
2024-02-01,100.66,104.28,100.66,103.57,69682
2024-02-02,103.93,103.95,98.11,101.06,105488
2024-02-05,101.18,106.59,101.18,105.42,78756
2024-02-06,105.82,105.82,99.44,101.36,38198
2024-02-07,100.14,101.69,100.14,101.1,71846
2024-02-08,101.96,102.71,101.96,102.34,44271
2024-02-09,101.21,103.45,101.21,102.97,47772
2024-02-12,102.93,103.48,100.17,101.74,46223
2024-02-13,101.74,101.74,101.05,101.37,28322
2024-02-14,100.99,101.13,99.82,100.42,65412
2024-02-15,100.33,100.33,98.87,99.28,73969
2024-02-16,98.89,101.6,98.89,101.02,63994
2024-02-19,100.69,102.4,100.69,101.79,58054
2024-02-20,102.05,102.05,100.01,100.43,89102
2024-02-21,100.12,102.79,100.12,102.29,54567
2024-02-22,101.92,105.25,100.54,102.97,98840
2024-02-23,102.88,105.58,102.88,104.7,54813
2024-02-26,104.71,106.51,104.71,106.07,71642
2024-02-27,106.4,106.4,103.49,104.36,31127
2024-02-28,104.42,104.43,101.85,103.24,52518
2024-02-29,102.99,107.67,101.97,104.84,84814
2024-03-01,104.38,107.86,104.38,106.17,86674
2024-03-04,105.78,108.28,104.06,106.18,99663
2024-03-05,106.05,108.4,104.54,106.48,106801
2024-03-06,106.11,111.56,106.11,109.26,82830
2024-03-07,109.87,109.87,106.81,108.02,63205
2024-03-08,107.79,110.32,107.79,109.25,79785
2024-03-11,109.14,109.7,108.09,108.87,80044
2024-03-12,109.56,110.33,106.15,108.45,68668
2024-03-13,108.68,112.05,108.68,110.88,68002
2024-03-14,111.11,112.91,111.11,112.77,54651
2024-03-15,113.67,115.12,113.67,114.66,34582
2024-03-18,114.79,118.35,114.79,117.71,87815
2024-03-19,117.98,118.18,117.49,117.82,66309
2024-03-20,117.13,120.03,117.13,119.49,89128
2024-03-21,119.16,121.1,116.55,118.81,34604
2024-03-22,118.29,121.72,117.79,119.64,57484
2024-03-25,119.78,120.93,117.73,119.38,68282
2024-03-26,119.92,120.37,118.95,119.68,41268
2024-03-27,119.61,122.01,119.61,121.16,44039
2024-03-28,122.23,122.23,118.84,119.24,86529
2024-03-29,119.03,124.79,119.03,124.29,98381
2024-04-01,123.56,123.56,121.4,121.85,90884
2024-04-02,122.62,122.62,116.72,118.95,96697
2024-04-03,117.51,122.36,117.51,121.76,92080
2024-04-04,121.94,124.33,121.94,123.75,68388
2024-04-05,123.63,127.38,123.63,125.36,101898
2024-04-08,123.52,128.15,123.52,127.0,28002
2024-04-09,126.84,129.98,124.1,127.03,41948
2024-04-10,126.15,126.53,123.43,124.81,44767
2024-04-11,125.35,125.75,123.93,125.07,92250
2024-04-12,125.34,125.34,122.17,123.43,79162
2024-04-15,123.71,127.03,123.71,125.9,65170
2024-04-16,125.44,126.06,125.35,125.6,51995
2024-04-17,125.51,125.51,123.41,123.59,97665
2024-04-18,123.72,125.23,120.22,122.85,100606
2024-04-19,122.9,124.2,122.9,123.93,47991
2024-04-22,123.35,124.03,121.08,122.59,59642
2024-04-23,122.98,122.98,120.17,120.64,75068
2024-04-24,120.81,121.58,120.81,121.29,34424
2024-04-25,121.9,122.23,121.58,121.94,71916
2024-04-26,121.64,121.64,120.08,120.77,88507
2024-04-29,121.59,121.59,119.32,119.69,85118
2024-04-30,118.63,120.51,118.63,120.31,72401
2024-05-01,120.31,120.31,115.74,116.88,31561
2024-05-02,116.37,116.37,112.65,113.65,56309
2024-05-03,113.37,113.37,110.81,112.07,98586
2024-05-06,112.0,112.81,110.16,111.65,34393
2024-05-07,112.76,112.76,111.97,112.4,78299
2024-05-08,113.1,117.45,113.1,115.77,105605
2024-05-09,116.39,119.12,116.11,117.82,81048
2024-05-10,117.55,118.23,117.04,117.5,58255
2024-05-13,117.38,119.42,115.6,117.51,33096
2024-05-14,118.37,118.37,114.2,115.22,42753
2024-05-15,116.43,116.43,114.68,115.23,78646
2024-05-16,115.7,116.48,112.47,114.62,92886
2024-05-17,113.84,116.89,113.77,115.42,44235
2024-05-20,115.77,115.77,113.16,113.57,34459
2024-05-21,113.64,117.29,112.79,114.81,62749
2024-05-22,114.23,118.94,114.23,118.38,66302
2024-05-23,118.39,118.55,117.52,118.18,64422
2024-05-24,118.84,121.06,117.32,119.19,71665
2024-05-27,119.31,121.34,119.31,120.9,48115
2024-05-28,121.83,121.83,119.64,119.99,25357
2024-05-29,119.18,122.36,118.88,120.58,29416
2024-05-30,120.73,121.36,120.19,120.68,55801
2024-05-31,120.57,121.59,120.34,120.97,63732
2024-06-03,121.98,121.98,118.38,119.16,97387
2024-06-04,119.19,119.97,118.42,119.28,44154
2024-06-05,119.09,121.35,119.09,120.53,70937
2024-06-06,120.3,124.88,120.3,124.09,78020
2024-06-07,123.31,128.13,123.31,126.53,65134
2024-06-10,126.92,132.52,126.92,132.04,26432
2024-06-11,133.42,133.42,128.37,130.08,70129
2024-06-12,129.02,132.87,129.02,132.41,45620
2024-06-13,133.32,133.57,132.44,132.97,28802
2024-06-14,132.15,139.28,132.15,138.86,90045
2024-06-17,139.26,139.26,135.96,136.68,100493
2024-06-18,136.91,136.91,134.1,134.45,69850
2024-06-19,134.01,134.01,132.53,132.91,86046
2024-06-20,133.29,133.29,126.81,127.33,37224
2024-06-21,127.21,128.49,123.38,126.05,88526
2024-06-24,125.3,125.3,123.61,124.2,26509
2024-06-25,124.58,126.4,122.55,124.64,89625
2024-06-26,124.1,125.77,124.1,125.55,75831
2024-06-27,125.15,131.05,125.15,130.33,103059
2024-06-28,129.28,135.16,129.28,132.87,109266
2024-07-01,133.54,134.37,128.79,131.4,79868
2024-07-02,130.59,131.04,127.2,129.11,106809
2024-07-03,128.49,130.61,128.49,130.44,27740
2024-07-04,130.32,130.32,126.19,127.06,70089
2024-07-05,126.07,134.73,126.07,131.78,55315
2024-07-08,131.59,136.65,131.59,134.96,60858
2024-07-09,135.98,135.98,133.45,133.76,70219
2024-07-10,133.07,133.07,128.4,129.24,32007
2024-07-11,129.37,136.8,128.79,132.81,62913
2024-07-12,133.3,134.38,131.09,132.57,100096
2024-07-15,132.78,138.62,132.78,135.92,40742
2024-07-16,134.18,134.18,130.1,131.65,44855
2024-07-17,130.93,131.7,128.72,130.14,88366
2024-07-18,130.67,132.35,128.36,130.22,53529
2024-07-19,129.58,132.49,128.73,130.4,59127
2024-07-22,129.28,131.61,127.36,129.29,75447
2024-07-23,129.63,132.57,129.5,130.97,104423
2024-07-24,131.49,131.49,125.72,128.24,37881
2024-07-25,130.23,130.73,124.79,127.94,104437
2024-07-26,128.57,129.99,126.33,128.31,85435
2024-07-29,128.58,130.74,128.31,129.69,42282
2024-07-30,128.9,133.96,128.9,131.6,87667
2024-07-31,132.71,132.71,127.8,128.71,55989
2024-08-01,128.37,128.37,124.02,124.83,28110
2024-08-02,124.6,130.47,124.6,128.08,75997
2024-08-05,128.1,131.9,126.53,128.99,100463
2024-08-06,129.7,129.95,123.84,127.13,44718
2024-08-07,126.48,133.17,126.48,131.13,94219
2024-08-08,130.24,132.78,130.06,131.5,99310
2024-08-09,131.08,134.96,131.08,134.67,51830
2024-08-12,135.42,137.47,132.59,134.92,34712
2024-08-13,135.55,141.84,135.55,140.55,53447
2024-08-14,140.16,146.47,140.16,145.55,76535
2024-08-15,145.93,146.92,142.64,144.9,36467
2024-08-16,144.21,149.53,144.21,147.79,32960
2024-08-19,147.85,152.49,147.7,149.77,62611
2024-08-20,150.55,155.64,150.55,153.94,59701
2024-08-21,153.43,153.43,149.6,151.05,50417
2024-08-22,151.1,153.98,151.1,153.2,31304
2024-08-23,153.34,156.72,153.34,156.52,72372
2024-08-26,157.17,157.17,148.4,151.09,49511
2024-08-27,151.86,151.86,145.6,147.59,50726
2024-08-28,147.79,147.79,140.13,141.65,40338
2024-08-29,141.84,141.84,140.16,140.95,77641
2024-08-30,140.92,143.79,140.92,143.05,60117
2024-09-02,143.4,148.2,143.4,147.42,76262
2024-09-03,147.29,147.81,147.12,147.71,93811
2024-09-04,147.38,155.37,147.38,152.59,29801
2024-09-05,153.65,153.65,145.68,148.46,92297
2024-09-06,148.88,148.88,142.78,143.47,42556
2024-09-09,142.88,144.74,141.74,143.39,87280
2024-09-10,144.1,146.95,141.54,144.56,102080
2024-09-11,144.9,145.93,143.42,144.54,42020
2024-09-12,145.03,145.03,136.31,138.63,34404
2024-09-13,138.49,139.81,137.14,138.46,48250
2024-09-16,138.27,138.27,133.29,134.91,63863
2024-09-17,135.38,139.1,134.66,136.79,65980
2024-09-18,136.91,138.64,136.55,137.86,49455
2024-09-19,137.83,137.83,134.47,135.34,30344
2024-09-20,135.32,135.32,132.44,134.01,60145
2024-09-23,134.56,134.56,129.49,131.24,34092
2024-09-24,130.56,132.43,129.9,131.14,80530
2024-09-25,130.74,134.36,130.74,133.71,65733
2024-09-26,134.07,134.19,127.79,131.14,102255
2024-09-27,130.98,133.89,130.98,132.53,54413
2024-09-30,132.54,132.69,130.2,131.19,58308
2024-10-01,133.15,133.15,128.4,129.18,77098
2024-10-02,129.28,129.67,128.46,128.96,72028
2024-10-03,128.37,128.37,125.32,126.36,44219
2024-10-04,127.46,127.46,124.83,125.02,26731
2024-10-07,124.24,124.24,121.09,122.09,68479
2024-10-08,122.46,128.78,122.46,126.95,48599
2024-10-09,128.27,128.66,125.53,127.1,72264
2024-10-10,127.77,127.77,123.71,125.39,61966
2024-10-11,125.97,126.73,125.5,125.99,72731
2024-10-14,125.49,126.28,124.91,125.77,41827
2024-10-15,125.62,126.48,123.88,125.27,61290
2024-10-16,124.79,127.29,124.79,126.87,76997
2024-10-17,127.99,129.76,127.97,128.86,90726
2024-10-18,128.74,130.72,124.61,127.56,46842
2024-10-21,127.52,127.52,124.64,126.15,100044
2024-10-22,126.75,126.75,124.57,125.52,30819
2024-10-23,125.65,125.65,118.6,119.8,60999
2024-10-24,119.39,119.39,114.76,116.23,33403
2024-10-25,114.95,120.62,114.95,119.47,82883
2024-10-28,120.73,123.72,120.73,123.46,84694
2024-10-29,123.51,124.28,121.65,122.91,89788
2024-10-30,123.29,125.64,123.29,124.39,80995
2024-10-31,124.82,127.09,123.34,125.22,104660
2024-11-01,125.36,133.97,125.36,133.0,76696
2024-11-04,133.62,136.73,133.62,136.04,61698
2024-11-05,136.67,137.24,134.21,135.76,47371
2024-11-06,134.81,134.81,132.4,133.23,40542
2024-11-07,132.91,132.91,128.2,129.02,76118
2024-11-08,129.57,130.91,128.59,129.61,101707
2024-11-11,130.33,130.33,125.78,127.71,88061
2024-11-12,126.84,126.84,123.16,124.14,90109
2024-11-13,124.62,124.62,121.67,122.6,82938
2024-11-14,121.4,121.4,118.64,120.01,30301
2024-11-15,120.31,124.88,120.31,124.12,77508
2024-11-18,123.93,127.79,123.93,126.37,98859
2024-11-19,126.78,127.37,125.78,126.41,33625
2024-11-20,126.8,131.76,126.8,130.22,46374
2024-11-21,129.89,130.7,129.89,130.48,52538
2024-11-22,131.42,131.42,127.45,128.3,43816
2024-11-25,128.71,134.07,128.71,132.28,81004
2024-11-26,132.95,137.04,130.68,133.77,82369
2024-11-27,133.44,133.63,128.59,131.06,82103
2024-11-28,129.68,131.24,129.49,130.63,102208
2024-11-29,130.98,130.98,126.59,128.4,32244
2024-12-02,128.08,128.08,122.24,124.92,114313
2024-12-03,124.12,127.73,124.12,127.29,73658
2024-12-04,126.98,133.62,126.98,132.22,41306
2024-12-05,133.42,133.42,127.54,128.59,39230
2024-12-06,129.13,132.66,127.55,130.1,112155
2024-12-09,132.09,132.09,127.11,128.47,74605
2024-12-10,128.34,128.34,126.41,127.28,53613
2024-12-11,127.19,127.24,124.27,125.84,98583
2024-12-12,126.23,126.23,121.78,123.73,44243
2024-12-13,124.34,125.51,122.18,123.91,29692
2024-12-16,124.42,124.42,121.32,121.91,90795
2024-12-17,121.62,122.9,121.62,122.63,87846
2024-12-18,122.17,122.87,122.17,122.57,43071
2024-12-19,122.43,124.22,119.83,122.04,42281
2024-12-20,122.34,122.34,119.34,119.89,49774
2024-12-23,119.43,119.85,117.21,118.57,56891
2024-12-24,118.68,121.09,118.68,120.42,37662
2024-12-25,120.19,122.85,120.19,121.68,66745
2024-12-26,120.6,120.6,118.6,119.37,72481
2024-12-27,119.38,121.43,118.1,119.66,68766
2024-12-30,119.16,121.81,119.16,121.52,29509
2024-12-31,120.11,120.11,115.79,117.52,83939
